LAKERS,113.2,106.9
BUCKS,118.7,107.9
CLIPPERS,116.2,109.6
RAPTORS,112.6,106.4
CELTICS,113.8,107.3
NUGGETS,110.9,108.3
ROCKETS,118.4,114.6
HEAT,112.3,109.1
PACERS,109.6,107.6
JAZZ,110.9,108.2
SIXERS,110.0,107.8
THUNDER,110.4,108.1
NETS,111.3,112.2
MAVERICKS,116.7,111.2
MAGIC,106.9,107.8
GRIZZLIES,112.8,113.8
BLAZERS,114.3,115.5
WIZARDS,114.9,119.4
SPURS,113.8,115.3
HORNETS,102.9,109.6
BULLS,106.8,109.9
PELICANS,115.9,116.9
SUNS,112.9,113.7
KNICKS,105.8,112.3
KINGS,109.7,111.8
PISTONS,107.2,110.8
TIMBERWOLVES,113.3,117.5
HAWKS,111.8,119.7
CAVALIERS,106.9,114.8
WARRIORS,106.3,115.0
