SIXERS,114.5,111.6
JAZZ,115.7,106.3
BUCKS,120.7,112.6
LAKERS,112.9,105.8
NETS,121.4,117.7
CLIPPERS,116.1,108.4
SUNS,110.8,107.2
CELTICS,110.1,109.3
PACERS,112.7,111.4
BLAZERS,115.5,115.2
KNICKS,104.0,103.6
SPURS,111.1,111.5
NUGGETS,115.5,111.0
HORNETS,111.3,111.7
WARRIORS,114.5,112.9
RAPTORS,113.9,112.1
BULLS,114.9,116.0
GRIZZLIES,111.3,111.0
MAVERICKS,112.9,114.6
HEAT,106.6,110.1
HAWKS,112.8,112.8
KINGS,113.9,119.3
PELICANS,113.2,114.1
MAGIC,104.9,111.8
CAVALIERS,103.9,113.0
THUNDER,107.6,113.2
WIZARDS,113.2,119.1
ROCKETS,109.2,111.0
TIMBERWOLVES,108.2,115.7
PISTONS,108.9,113.0
